   , Year  , Datetime           , Stage                   , Stadium                                           , City                             , Home Team Name               , Home Team Goals, Away Team Goals, Away Team Name               , Attendance, Half-time Home Goals, Half-time Away Goals, Referee                             , Assistant 1                         , Assistant 2                         , RoundID, MatchID, Home Team Initials, Away Team Initials
403, 1986.0, 1986-06-18 16:00:00, Round of 16             , Estadio Corregidora                               , Queretaro                        , Denmark                      ,               1,               5, Spain                        ,      38500,                  1.0,                  1.0, KEIZER Jan (NED)                    , BENNACEUR Ali (TUN)                 , DOTCHEV Bogdan (BUL)                ,     404,   10404, DEN               , ESP
404, 1986.0, 1986-06-21 12:00:00, Quarter-finals          , Jalisco                                           , Guadalajara                      , Brazil                       ,               1,               1, France                       ,      65000,                  0.0,                  0.0, IGNA Ioan (ROU)                     , NEMETH Lajos (HUN)                  , CHRISTOV Vojtech (TCH)              ,     405,   10405, BRA               , FRA
405, 1986.0, 1986-06-21 16:00:00, Quarter-finals          , Estadio Universitario                             , Monterrey                        , Germany FR                   ,               0,               0, Mexico                       ,      41700,                  0.0,                  0.0, DIAZ PALACIO Jesus (COL)            , BAMBRIDGE Christopher (AUS)         , SNODDY Alan (NIR)                   ,     406,   10406, FRG               , MEX
406, 1986.0, 1986-06-22 16:00:00, Quarter-finals          , Cuauhtemoc                                        , Puebla                           , Spain                        ,               1,               1, Belgium                      ,      45000,                  0.0,                  0.0, KIRSCHEN Siegfried (GER)            , CODESAL MENDEZ Edgardo (MEX)        , BRUMMEIER Horst (AUT)               ,     407,   10407, ESP               , BEL
407, 1986.0, 1986-06-22 12:00:00, Quarter-finals          , Estadio Azteca                                    , Mexico City                      , Argentina                    ,               2,               1, England                      ,     114580,                  0.0,                  0.0, BENNACEUR Ali (TUN)                 , ULLOA MORERA Berny (CRC)            , DOTCHEV Bogdan (BUL)                ,     408,   10408, ARG               , ENG
408, 1986.0, 1986-06-25 12:00:00, Semi-finals             , Jalisco                                           , Guadalajara                      , France                       ,               0,               2, Germany FR                   ,      45000,                  0.0,                  1.0, AGNOLIN Luigi (ITA)                 , PETROVIC Zoran (SRB)                , NEMETH Lajos (HUN)                  ,     409,   10409, FRA               , FRG
409, 1986.0, 1986-06-25 16:00:00, Semi-finals             , Estadio Azteca                                    , Mexico City                      , Argentina                    ,               2,               0, Belgium                      ,     114500,                  0.0,                  0.0, MARQUEZ RAMIREZ Antonio (MEX)       , MENDEZ MOLINA Romulo (GUA)          , SILVA VALENTE Carlos Alberto (POR)  ,     410,   10410, ARG               , BEL
410, 1986.0, 1986-06-28 12:00:00, Match for third place   , Cuauhtemoc                                        , Puebla                           , France                       ,               4,               2, Belgium                      ,      21000,                  0.0,                  0.0, COURTNEY George (ENG)               , SILVA ARCE Hernan (CHI)             , AL SHARIF Jamal (SYR)               ,     411,   10411, FRA               , BEL
411, 1986.0, 1986-06-29 12:00:00, Final                   , Estadio Azteca                                    , Mexico City                      , Argentina                    ,               3,               2, Germany FR                   ,     114600,                  1.0,                  0.0, ARPPI FILHO Romualdo (BRA)          , FREDRIKSSON Erik (SWE)              , ULLOA MORERA Berny (CRC)            ,     412,   10412, ARG               , FRG
412, 1990.0, 1990-06-08 18:00:00, Group B                 , Giuseppe Meazza                                   , Milan                            , Argentina                    ,               0,               1, Cameroon                     ,      73780,                  0.0,                  0.0, VAUTROT Michel (FRA)                , MAURO Vincent (USA)                 , LISTKIEWICZ Michal (POL)            ,     413,   10413, ARG               , CMR
